member,address,start_date,end_date,season
StableLab,0xecc2a9240268bc7a26386ecb49e1befca2706ac9,2024-06-27,2025-01-15,6
Griff,0x4d9339dd97db55e3b9bcbe65de39ff9c04d1c2cd,2024-06-27,2025-01-15,6
Gauntlet,0x36f37f8571afc3486d33ee7b1c7f12c0211e9891,2024-06-27,2025-01-15,6
v3naru_Curia (Curia Labs),0x17296956b4e07ff8931e4ff4ea06709fab70b879,2024-06-27,2025-01-15,6
Tane,0xb79294d00848a3a4c00c22d9367f19b4280689d7,2025-01-16,2025-11-06,7
Krzysztof Urba?ski | L2BEAT,0x1b686ee8e31c5959d9f5bbd8122a58682788eead,2025-01-16,2025-11-06,7
Griff Green,0x4d9339dd97db55e3b9bcbe65de39ff9c04d1c2cd,2025-01-16,2025-11-06,7
Curia-delegates.eth,0x17296956b4e07ff8931e4ff4ea06709fab70b879,2025-01-16,2025-11-06,7
MattGov.eth,0x1f4ba000d042ca0045ef094691615f3912debea8,2025-01-16,2025-11-06,7
PGov - Juanbug,0x3fb19771947072629c8eee7995a2ef23b72d4c8a,2025-01-16,2025-11-06,7
katie,0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,2025-01-16,2025-11-06,7
GFX Labs,0xa6e8772af29b29b9202a073f8e36f447689beef6,2025-01-16,2025-11-06,7
MoneyManDoug,0xd23199f1222c418ffc74c385171330b21b16e452,2025-01-16,2025-11-06,7
404 DAO,0xe93d59cc0bcecfd4ac204827ef67c5266079e2b5,2025-01-16,2025-11-06,7
Chomtana,0x5f4bcccb5c2cbb01c619f5cfed555466e31679b6,2025-01-16,2025-11-06,7
SEEDGov,0xed3258417a49703e3697c29c4fb968468c1f6fcd,2025-01-16,2025-11-06,7
MinimalGravitas,0x7899d9b1181cbb427b0b1be0684c096c260f7474,2025-01-16,2025-11-06,7
Michael Vander Meiden,0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,2025-01-16,2025-11-06,7
olimpio,0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,2025-01-16,2025-11-06,7
jrocki.eth,0xfc10a71b1e7974401d840fd15cebf08ed7e115cc,2025-01-16,2025-11-06,7
MasterMojo,0x406b607644c5d7bfda95963201e45a4c6ab1c159,2025-01-16,2025-11-06,7
AnthiasLabs,0x7575f04a46b6d76142723e765f7546c354773406,2025-01-16,2025-11-06,7
Sov,0x2d7d6ec6198adfd5850d00bd601958f6e316b05e,2025-01-16,2025-11-06,7
optimismcn.eth,0xc841d6ddf66467af551b35218c0c2e22f9c14b48,2025-01-16,2025-11-06,7
Nanobro,0x22e2f326fe5a1d07e1214eb1c08346fd816e8375,2025-01-16,2025-11-06,7
Gonna.eth,0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,2025-01-16,2025-11-06,7
grapebaba.eth,0x56edf679b0c80d528e17c5ffe514dc9a1b254b9c,2025-01-16,2025-11-06,7
LauNaMu,0x5d36a202687fd6bd0f670545334bf0b4827cc1e2,2025-01-16,2025-11-06,7
Daoplomats,0x5762f3074605df17aebe3f5bc8fc7f8702aca752,2025-01-16,2025-11-06,7
Pumbi,0x0374f0273e01841f594a4c0becdf7bfbd9b13a42,2025-01-16,2025-11-06,7
